pH,MO,fosforo,azufre,calcio,magnesio,potasio,CIC,CE,anios_est,IPS
4.33,4.93,8.13,6.13,0.56,0.35,0.19,8.39,0.3,7.5,43
4.22,2.54,7.951,5.478,0.44,0.063,0.15,7.83,0.221,0.5,36
5.17,7.829,4.077,13.43,0.25,0.1,0.045,1.328,0.174,3.0,50
8.54,1.6,31.59,6.75,20.5,8.68,0.7,29.5,0.24,0.5,72
5.17,2.239,1.935,7.051,0.835,0.374,0.045,2.597,0.185,0.5,42
5.95,1.83,57.06,5.86,8.57,2.78,0.2,11.59,0.2,0.5,81
4.72,12.89,91.19,9.647,5.23,1.347,1.085,13.47,0.334,3.0,82
6.25,5.81,8.403,2.39,14.79,1.59,0.1,16.56,0.21,7.5,76
6.45,1.871,35.22,10.57,5.803,2.22,0.281,8.424,0.34,0.5,73
7.0,1.59,46.39,4.61,10.17,2.09,0.12,12.58,0.19,0.5,78
5.39,1.246,16.96,3.712,2.008,0.604,0.045,3.536,0.137,3.0,48
7.79,3.564,160.2,5.676,48.99,2.117,0.578,51.84,1.078,15.0,78
7.91,1.45,23.16,9.37,19.76,8.24,0.55,28.82,0.23,0.5,77
7.62,2.518,76.59,9.374,14.89,3.72,0.224,18.97,0.304,0.5,74
5.82,2.862,6.631,8.128,8.182,1.796,0.309,11.11,0.354,0.5,73
5.29,2.836,1.935,10.08,0.838,0.405,0.045,3.349,0.064,0.5,42
6.44,1.219,26.62,2.04,11.23,6.599,0.272,18.16,0.143,3.0,82
6.77,2.34,0.645,1.83,21.01,10.47,0.13,31.74,0.13,0.5,73
4.62,1.81,4.16,30.26,0.91,0.46,0.93,9.63,0.46,0.5,49
6.1,5.278,32.88,8.427,16.05,2.363,1.327,19.88,0.357,3.0,95
5.05,7.0,36.37,5.855,3.492,0.948,0.708,7.477,0.345,3.0,71
5.05,2.34,1.67,1.41,1.26,0.15,0.045,5.06,0.05,0.5,46
5.46,21.25,4.258,5.295,0.589,0.217,0.139,1.994,0.12,7.5,53
5.17,0.74,0.645,4.16,0.21,0.09,0.045,0.81,0.03,0.5,42
6.3,2.718,310.5,251.7,9.963,2.505,0.48,13.27,2.746,0.5,76
5.34,2.55,6.95,2.07,0.56,0.1,0.16,1.71,0.14,0.5,45
6.08,0.74,30.79,2.54,3.4,0.49,0.1,4.05,0.07,0.5,56
7.28,1.76,4.43,4.36,7.87,1.46,0.15,9.74,0.21,0.5,56
6.53,1.41,4.169,4.191,9.735,8.569,0.446,18.95,0.336,3.0,79
4.95,8.03,44.12,14.13,2.75,0.32,0.46,6.3,0.56,3.0,64
5.53,7.1,8.06,28.81,3.61,0.63,0.24,4.56,0.36,0.5,61
5.86,2.52,20.89,7.07,2.46,1.21,0.74,4.55,0.29,0.5,68
6.14,1.827,5.964,8.996,8.223,3.194,0.203,11.74,0.501,0.5,71
5.16,9.883,4.026,11.47,2.065,0.308,0.14,3.119,0.484,0.5,53
4.64,1.3,1.935,5.12,1.73,0.69,0.12,4.47,0.22,15.0,37
5.55,1.75,21.02,27.07,3.574,0.721,0.39,4.829,0.659,0.5,60
4.74,1.574,7.094,12.82,1.754,0.651,0.206,3.853,0.21,0.5,40
6.01,0.703,4.233,0.841,4.017,1.2,0.045,5.447,0.19,0.5,61
5.41,6.5,6.52,5.36,3.84,0.77,0.54,5.63,0.56,0.5,63
6.83,2.516,49.04,7.041,9.845,1.856,0.371,12.21,0.55,0.5,79
6.46,2.76,3.91,3.33,15.9,0.39,0.16,16.57,0.16,3.0,69
6.95,0.938,18.74,2.462,3.366,0.559,0.045,4.085,0.1,0.5,53
6.64,3.64,17.25,7.21,18.18,13.42,0.62,32.33,0.4,3.0,88
7.49,0.999,87.93,5.345,44.93,7.574,0.57,53.21,0.197,0.5,84
6.09,4.994,15.41,4.706,28.47,1.512,0.296,30.71,0.245,0.5,80
6.61,2.12,14.39,10.56,11.58,6.55,0.48,18.7,0.33,0.5,82
5.34,2.26,1.87,5.73,2.4,0.88,0.3,3.94,0.18,0.5,48
6.45,2.6,35.79,4.87,3.01,0.27,0.21,3.57,0.26,0.5,59
4.86,2.723,3.489,2.561,0.673,0.092,0.045,2.566,0.075,0.5,37
6.82,2.705,29.57,6.107,10.73,2.655,0.691,14.42,0.527,0.5,82
7.18,3.64,32.15,3.73,34.32,3.14,0.27,37.88,0.3,0.5,81
6.8,1.108,13.45,5.283,10.1,3.402,0.192,13.83,0.153,0.5,76
4.91,3.05,12.67,3.955,0.96,0.236,0.045,2.591,0.126,15.0,44
6.97,1.26,15.1,6.202,11.72,8.68,0.17,20.82,0.15,0.5,79
6.2,8.358,14.71,7.673,30.62,6.158,1.631,38.94,0.375,0.5,92
5.53,4.022,74.95,17.69,10.48,1.841,1.163,13.67,0.834,0.5,85
4.71,7.84,3.73,3.9,0.47,0.2,0.09,10.07,0.07,0.5,53
4.82,2.89,1.935,2.7,0.295,0.1,0.12,4.69,0.12,7.5,37
4.059,1.834,4.227,115.6,2.335,1.157,1.342,6.668,2.27,0.5,43
4.63,3.5,14.43,25.39,8.78,2.13,0.33,12.18,2.09,0.5,65
6.32,1.5,19.22,3.51,2.93,0.59,0.11,3.71,0.12,0.5,53
5.5,2.01,4.36,17.54,13.12,6.95,0.23,20.51,0.33,0.5,76
5.13,10.98,5.604,7.616,0.667,0.236,0.155,3.415,0.18,0.5,56
6.58,4.02,8.403,2.71,18.4,1.14,0.2,19.85,0.24,0.5,75
5.4,1.119,13.88,2.133,1.848,0.671,0.045,2.983,0.175,0.5,45
6.49,2.83,13.28,5.68,6.24,2.21,0.12,8.7,0.2,0.5,67
5.95,2.74,5.09,4.55,12.59,12.4,0.65,25.91,0.21,0.5,81
4.54,2.06,5.69,9.69,0.88,0.23,0.045,3.46,0.25,0.5,37
6.92,3.86,19.3,19.74,10.88,1.05,0.38,12.4,0.13,0.5,80
4.23,2.599,1.935,10.99,1.511,0.579,0.045,4.133,0.543,3.0,30
5.58,6.62,30.33,14.51,6.95,2.9,0.97,11.01,0.48,3.0,90
5.05,2.391,1.935,2.048,0.736,0.184,0.045,1.452,0.116,0.5,42
4.76,1.73,1.935,2.26,0.295,0.1,0.045,2.56,0.05,0.5,37
5.39,1.28,1.54,3.25,0.53,0.26,0.045,1.59,0.06,0.5,42
5.15,8.879,60.25,6.975,1.547,0.421,0.265,4.0,0.195,3.0,61
5.48,17.08,90.18,6.202,5.27,0.74,0.5,7.78,0.31,7.5,77
5.99,3.6,19.8,5.8,10.12,1.91,0.24,12.36,0.19,0.5,77
4.849,2.001,2.672,2.621,0.168,0.061,0.045,0.723,0.073,0.5,37
5.49,4.524,5.769,7.86,12.83,3.618,0.556,17.09,0.156,0.5,80
6.25,2.687,1.935,3.879,8.542,1.847,0.347,10.87,0.162,0.5,73
4.12,2.19,2.72,3.45,0.47,0.18,0.045,4.06,0.36,0.5,32
8.02,5.582,7.931,7.651,40.54,1.113,0.184,41.94,0.963,15.0,64
5.44,5.48,10.11,4.52,3.66,0.87,0.58,6.6,0.23,0.5,68
6.94,1.017,1.935,6.888,5.841,3.178,0.494,9.613,0.172,0.5,70
6.56,4.013,52.35,11.87,28.14,2.754,0.396,31.43,0.59,0.5,89
5.03,1.59,19.71,3.7,0.818,1.064,0.235,2.895,0.111,0.5,52
4.19,8.057,2.17,15.38,0.692,0.316,0.239,6.67,0.962,0.5,45
5.17,1.9,12.01,21.74,4.8,1.32,0.22,7.07,0.27,7.5,62
4.53,5.83,2.57,16.27,0.97,0.4,0.2,9.1,0.2,0.5,52
5.76,3.145,10.22,8.693,5.852,2.389,0.135,8.55,0.163,7.5,71
6.47,3.104,11.66,38.25,8.835,6.784,0.524,16.35,0.651,7.5,86
5.38,8.14,8.3,9.27,2.79,0.5,0.18,4.1,0.55,0.5,54
6.28,0.81,8.049,1.71,2.415,0.785,0.148,3.461,0.093,0.5,50
4.62,1.48,1.935,4.28,0.56,0.36,0.14,7.4,0.14,15.0,41
5.01,3.02,1.935,22.67,0.65,0.1,0.28,3.33,0.18,0.5,49
4.24,1.38,1.935,10.51,0.56,0.31,0.18,9.08,0.18,15.0,39
5.16,2.183,1.898,2.102,0.611,0.339,0.045,1.482,0.032,0.5,42
5.5,2.72,3.65,6.43,4.88,1.21,0.55,6.68,0.58,0.5,67
4.87,19.45,104.9,11.29,1.332,0.545,0.836,6.913,0.217,7.5,68
5.64,8.053,5.157,6.342,6.514,3.207,0.822,10.66,0.313,0.5,84
5.13,6.984,6.083,4.583,1.52,0.69,0.42,5.458,0.206,15.0,60
7.33,0.67,16.09,8.61,10.62,3.54,0.48,14.79,0.26,7.5,74
7.68,2.152,208.8,3.688,10.7,0.812,0.367,11.9,0.28,0.5,67
4.22,3.151,4.491,11.58,0.895,0.223,0.103,8.905,0.188,0.5,40
5.94,1.09,51.77,6.202,4.54,0.55,0.17,5.32,0.69,0.5,66
7.4,1.709,192.5,14.37,16.64,2.114,0.608,19.6,0.507,0.5,82
4.05,2.905,1.344,3.801,0.18,0.154,0.045,1.735,0.163,0.5,32
4.29,6.67,1.935,6.15,0.56,0.2,0.11,6.66,0.51,15.0,42
8.46,1.11,1.935,37.71,48.0,0.673,0.103,49.09,1.459,15.0,46
7.3,1.578,26.81,13.15,7.712,2.343,0.16,10.29,0.373,0.5,72
5.94,1.9,14.63,8.33,3.05,1.92,0.41,5.59,0.24,0.5,67
4.639,1.784,0.556,2.177,0.193,0.082,0.045,2.776,0.027,0.5,37
5.96,20.47,3.837,1.15,5.659,1.292,0.197,7.249,0.101,0.5,75
5.32,6.995,3.763,20.29,2.177,0.944,0.658,4.553,0.168,3.0,61
4.62,5.02,7.33,13.14,0.569,0.1,0.22,6.411,0.148,3.0,52
5.41,3.716,7.76,9.542,4.642,0.925,0.652,6.39,0.363,0.5,64
4.59,3.441,2.992,3.294,0.423,0.331,0.201,8.417,0.194,7.5,48
4.99,1.31,11.01,3.18,2.61,0.72,0.11,4.78,0.24,0.5,43
4.74,3.53,7.702,6.678,1.604,0.321,0.153,4.875,0.179,0.5,44
5.81,1.725,21.8,3.638,5.749,1.028,0.045,6.938,0.201,15.0,67
5.059,1.762,12.22,7.83,1.042,0.287,0.045,2.32,0.151,0.5,45
5.27,1.4,9.9,8.9,8.45,2.74,0.23,14.48,0.1,3.0,68
6.21,2.101,96.13,2.515,8.087,1.233,0.297,9.716,0.194,0.5,74
4.88,3.23,2.069,3.051,0.318,0.123,0.045,1.716,0.035,0.5,41
6.21,0.651,23.3,2.439,14.3,5.767,0.416,20.56,0.209,3.0,85
6.51,1.772,1.935,5.17,19.42,6.545,0.237,26.56,0.203,0.5,76
8.16,3.76,76.26,4.13,20.15,5.31,0.6,26.55,0.36,0.5,78
8.42,0.85,14.94,12.33,33.87,5.0,0.29,39.4,0.68,0.5,62
4.74,1.83,1.935,15.55,1.83,0.77,0.26,9.34,0.12,0.5,44
5.82,3.602,3.968,6.627,5.837,2.286,0.152,8.376,0.174,0.5,71
5.18,4.67,1.29,9.38,9.29,4.45,0.11,15.7,0.18,3.0,72
5.23,1.17,1.935,1.06,1.32,0.73,0.2,6.49,0.06,0.5,49
4.66,4.52,43.46,6.44,7.03,1.25,0.54,17.17,0.39,3.0,78
7.36,0.861,1.935,3.439,7.582,2.053,0.187,9.963,0.166,15.0,62
5.54,4.849,24.31,6.808,5.604,2.911,2.102,10.8,1.337,15.0,81
5.14,0.37,7.01,2.37,0.295,0.1,0.045,2.37,0.04,0.5,42
5.84,1.52,4.27,3.88,4.75,1.46,0.1,6.44,0.46,15.0,61
5.64,1.05,6.66,6.6,2.19,0.46,0.045,2.74,0.08,0.5,50
4.5,2.78,1.935,19.3,0.56,0.22,0.045,2.03,0.21,3.0,37
5.01,4.007,1.935,3.359,0.25,0.1,0.045,4.506,0.069,0.5,46
6.32,10.6,54.51,12.13,14.0,2.0,0.82,17.0,5.08,15.0,89
5.97,1.73,13.71,2.69,8.27,3.28,0.24,11.98,0.15,0.5,76
4.63,1.739,1.935,13.46,1.212,0.647,0.094,3.865,0.256,0.5,37
5.27,3.31,6.55,8.2,2.01,1.09,0.17,3.86,0.19,0.5,56
4.05,1.282,4.445,2.837,1.58,0.395,0.045,10.08,0.215,7.5,40
5.72,1.189,27.52,13.82,3.88,0.813,0.13,4.981,0.815,0.5,54
7.24,3.72,14.95,4.869,18.26,4.368,1.109,24.06,0.312,0.5,83
6.3,1.808,6.53,2.513,14.78,4.333,0.281,19.53,0.168,0.5,76
5.95,5.336,7.114,7.036,5.803,1.603,0.336,7.775,0.343,0.5,75
5.58,5.52,9.37,6.48,7.83,3.5,0.4,11.82,0.29,0.5,82
4.65,2.647,55.5,18.7,14.07,1.851,2.197,23.64,0.302,0.5,76
5.56,2.625,5.251,2.08,1.438,0.693,0.045,2.291,0.258,3.0,47
7.67,1.81,65.06,143.76,12.51,2.77,0.69,16.67,1.76,0.5,74
5.2,12.76,1.935,2.86,1.31,0.36,0.21,3.04,0.3,3.0,56
6.29,11.54,14.06,12.32,17.52,2.713,1.632,21.92,0.739,0.5,93
5.67,4.975,17.8,2.567,1.686,0.182,0.099,2.067,0.143,0.5,54
4.019,3.982,303.0,4.666,0.617,0.164,0.185,3.297,0.196,0.5,47
5.16,21.89,21.67,9.91,4.199,1.102,0.662,9.171,0.594,0.5,79
5.53,1.653,6.589,5.467,1.865,0.455,0.045,3.295,0.129,0.5,47
8.39,0.26,9.96,126.37,6.38,6.36,0.78,20.58,10.35,0.5,56
5.49,1.147,2.189,3.17,1.064,0.186,0.045,1.494,0.057,0.5,42
6.9,1.4,8.403,41.3,7.1,2.12,0.5,9.91,0.82,0.5,66
4.47,7.309,10.07,4.638,6.749,1.431,0.543,12.42,0.218,0.5,69
5.11,2.613,7.946,29.42,6.477,1.973,0.121,9.575,0.146,15.0,56
5.24,25.29,32.28,106.05,8.78,3.6,0.71,14.96,1.27,3.0,85
4.98,4.226,3.864,3.335,1.204,0.884,0.204,3.186,0.148,0.5,44
5.1,1.12,1.935,2.36,8.55,5.72,0.24,18.07,0.14,15.0,71
4.58,22.84,10.53,30.12,1.962,0.848,0.874,7.869,1.779,0.5,58
5.41,2.599,10.09,7.281,8.989,1.481,0.238,10.9,0.624,0.5,66
5.3,5.318,1.925,7.985,1.123,1.418,0.096,3.348,0.095,3.0,54
6.39,2.48,1.935,5.67,30.81,10.45,0.3,41.66,0.19,7.5,76
5.12,23.42,61.94,5.524,2.433,0.459,0.549,6.71,0.282,3.0,76
4.56,1.39,1.935,3.88,0.295,0.1,0.1,2.36,0.13,0.5,37
5.85,7.103,1.935,4.725,1.13,0.311,0.335,1.877,0.231,0.5,61
5.85,3.89,5.79,26.71,6.14,3.145,0.214,9.581,0.393,0.5,71
5.51,3.62,47.26,3.24,5.32,1.24,0.15,6.91,0.21,0.5,73
5.8,4.52,4.68,3.52,3.85,1.41,0.23,5.73,0.15,0.5,65
4.88,4.14,13.85,6.87,1.25,0.24,0.13,6.02,0.15,0.5,48
5.82,3.78,0.645,14.9,10.89,10.32,0.09,21.39,0.14,3.0,77
5.27,2.16,40.77,16.68,3.12,1.26,0.24,4.92,0.31,0.5,60
5.64,2.93,12.06,12.2,4.28,1.82,0.59,6.87,0.28,0.5,72
5.11,1.86,13.64,5.96,1.32,0.51,0.12,4.74,0.11,7.5,45
5.28,20.45,19.79,12.96,1.279,0.514,0.537,4.445,0.258,15.0,64
6.83,2.07,6.97,2.71,5.41,2.77,0.39,8.65,0.2,0.5,70
4.72,1.91,115.0,7.55,1.41,0.25,0.13,3.37,0.24,0.5,45
5.53,6.52,1.935,12.23,10.17,2.89,0.76,13.89,0.38,3.0,86
4.86,8.392,10.53,27.66,0.719,0.256,0.127,2.722,0.291,7.5,48
5.39,4.02,2.18,6.69,3.8,1.8,0.15,6.23,0.17,0.5,57
5.07,18.38,7.68,11.58,4.022,1.216,0.265,6.32,0.349,7.5,70
5.09,1.328,4.085,2.837,4.97,1.892,0.122,8.666,0.108,3.0,56
5.67,1.041,1.935,1.605,0.932,0.301,0.045,1.688,0.075,0.5,47
6.58,3.41,4.95,3.68,6.7,2.34,0.29,9.38,0.26,15.0,71
4.61,2.076,1.935,9.767,1.22,0.498,0.202,3.799,0.271,0.5,40
7.81,2.28,8.403,76.91,10.36,2.81,7.94,21.34,2.71,0.5,61
5.91,2.119,4.698,2.702,6.739,1.408,0.211,8.44,0.179,3.0,64
8.07,11.83,2251.0,50.43,38.57,10.49,8.539,58.86,8.801,0.5,77
7.46,1.404,28.16,6.216,26.76,4.275,0.393,31.63,0.208,0.5,80
8.08,0.95,35.12,166.47,26.22,3.66,0.36,32.45,2.71,0.5,62
5.12,5.45,23.8,48.04,4.29,1.13,0.31,7.56,0.53,0.5,74
6.07,2.687,6.591,4.483,7.088,2.148,0.181,9.472,0.199,0.5,67
5.52,17.15,11.22,4.071,0.685,0.475,1.657,2.845,0.224,7.5,69
5.17,7.916,25.22,9.494,5.374,1.1,0.168,7.423,0.373,0.5,73
5.53,1.78,5.4,2.74,11.52,3.5,0.25,15.33,0.11,0.5,76
5.71,3.12,7.27,4.93,5.279,2.097,0.163,7.588,0.103,3.0,71
4.139,2.918,1.935,14.75,0.25,0.255,0.11,4.712,0.447,0.5,32
6.24,6.279,1068.0,38.26,20.11,2.71,1.647,24.98,1.331,0.5,92
4.78,3.62,12.88,8.52,5.63,0.83,0.23,9.45,0.6,0.5,55
7.17,4.298,153.0,4.432,8.498,4.05,0.501,13.15,0.45,3.0,85
5.49,14.26,6.81,16.75,3.63,1.12,0.29,6.58,0.51,0.5,65
6.03,2.34,3.98,4.61,3.21,1.44,0.94,5.69,0.17,0.5,66
5.74,14.42,14.53,13.26,1.805,0.626,0.227,2.98,0.275,3.0,64
7.38,1.302,12.39,12.18,9.346,4.915,0.238,14.79,0.301,7.5,71
5.07,1.592,49.67,16.0,5.793,0.521,0.35,8.451,0.18,0.5,66
5.0,3.02,1.38,4.82,0.99,0.02,0.045,2.94,0.11,0.5,46
4.92,8.83,6.97,5.08,0.94,0.28,0.27,2.82,0.48,0.5,48
5.72,4.45,101.0,4.898,3.12,0.262,0.572,4.095,0.199,0.5,70
6.06,5.728,10.63,6.911,9.921,2.713,0.921,13.62,0.457,0.5,89
5.02,4.31,116.7,9.71,5.99,1.32,0.6,8.63,0.79,0.5,74
7.85,2.16,6.02,3.76,24.77,1.57,0.19,26.6,0.26,0.5,63
4.92,3.21,0.645,7.9,0.58,0.27,0.045,2.73,0.21,0.5,41
4.84,10.94,9.821,3.69,7.048,1.735,0.426,13.9,0.176,0.5,72
4.79,4.0,6.09,6.93,4.9,0.79,0.21,8.26,0.27,0.5,54
8.14,1.513,44.89,15.09,26.26,1.634,0.13,28.2,0.826,7.5,61
7.16,1.201,3.754,9.894,10.08,4.438,0.268,14.97,0.2,0.5,68
6.18,11.73,17.57,11.34,9.584,1.741,0.045,11.74,0.31,15.0,81
7.33,3.33,8.403,6.202,15.73,0.74,0.22,16.76,0.223,0.5,56
7.36,2.09,4.25,8.55,12.72,1.89,0.12,14.77,0.22,7.5,62
5.97,2.34,12.17,9.18,6.81,3.19,0.21,10.27,0.21,0.5,74
4.32,1.328,2.546,18.96,0.461,0.38,0.147,4.068,0.095,0.5,32
5.09,5.848,41.55,4.672,1.668,0.39,0.155,3.561,0.187,0.5,61
4.519,8.796,5.232,10.27,0.631,0.295,0.387,8.293,0.234,0.5,55
7.9,3.84,26.58,10.86,46.5,1.79,0.44,48.91,0.59,0.5,74
5.17,1.43,1.935,6.202,1.23,0.2,0.045,2.73,0.06,0.5,42
4.67,2.36,2.86,29.94,1.37,0.29,0.045,5.61,0.15,0.5,41
5.55,9.22,83.46,12.22,7.38,2.56,2.07,12.1,0.42,3.0,92
5.41,12.77,5.03,4.35,2.33,0.46,0.35,3.89,0.2,7.5,62
5.59,2.098,63.6,4.008,9.033,4.572,0.283,13.92,0.186,0.5,81
5.2,5.57,6.81,7.09,1.61,0.62,0.19,4.46,0.17,0.5,53
4.86,2.47,24.01,11.15,1.94,0.71,0.21,5.46,0.19,0.5,50
4.41,3.8,1.935,20.34,0.69,0.21,0.43,4.68,0.9,0.5,40
6.4,4.34,3.4,2.91,9.51,3.39,0.21,13.22,0.2,0.5,77
5.45,1.38,31.4,4.14,2.85,0.37,0.045,4.54,0.11,0.5,51
7.48,1.812,8.419,6.636,41.94,5.862,0.304,48.49,0.778,0.5,72
7.58,4.609,374.3,6.321,12.91,4.317,0.275,17.55,0.436,0.5,78
5.84,7.53,24.48,9.84,6.09,1.67,0.45,8.28,0.37,3.0,81
6.51,2.718,13.87,8.649,15.16,4.811,0.393,20.43,0.568,0.5,80
5.45,1.45,4.63,9.84,4.71,1.45,0.35,6.88,0.19,3.0,62
6.02,0.72,24.93,5.74,2.67,0.69,0.045,3.52,0.12,3.0,56
5.38,5.31,1.42,7.1,4.64,1.25,0.26,6.44,0.29,0.5,67
5.49,12.17,277.9,6.093,4.717,1.11,0.576,6.441,0.253,0.5,83
4.96,1.5,14.59,13.89,2.66,0.42,0.28,3.69,0.51,0.5,44
4.49,1.818,31.65,17.75,1.921,0.494,0.159,9.31,0.209,7.5,45
5.0,3.95,1.51,9.01,5.57,4.2,0.23,10.52,0.44,7.5,70
8.27,3.17,106.12,5.03,17.94,4.86,0.57,23.8,0.39,0.5,78
4.56,2.65,1.88,5.91,0.63,0.3,0.24,8.19,0.16,0.5,44
5.66,2.664,3.29,4.866,4.792,1.912,0.144,7.027,0.255,3.0,61
4.88,1.84,1.55,4.13,0.73,0.21,0.045,2.48,0.14,0.5,37
5.24,1.81,25.35,13.15,6.59,1.7,0.28,9.1,0.24,0.5,65
6.12,5.951,9.843,3.271,11.6,3.515,0.454,15.6,0.169,0.5,87
4.73,2.546,8.211,3.018,1.281,0.1,0.118,11.05,0.084,0.5,45
5.57,4.48,3.66,11.68,7.91,1.15,0.15,9.28,0.23,0.5,65
6.73,2.126,13.91,3.166,10.89,6.106,0.128,17.22,0.959,0.5,74
5.54,3.102,4.793,5.18,4.118,4.564,0.147,8.965,0.131,0.5,68
6.1,3.604,6.746,3.333,4.764,1.815,0.045,6.74,0.335,0.5,65
5.49,5.9,8.97,2.5,2.07,0.38,0.13,3.39,0.15,3.0,53
5.23,21.18,64.98,5.609,3.047,0.589,1.168,9.452,0.329,0.5,76
4.6,1.45,32.88,5.35,0.03,0.1,0.045,1.18,0.16,0.5,43
6.14,1.64,4.03,3.63,11.43,4.08,0.12,15.69,0.21,0.5,73
5.23,0.933,1.935,1.676,0.25,0.1,0.045,1.761,0.088,3.0,42
5.66,7.05,5.71,6.202,8.8,0.37,0.21,9.47,0.4,0.5,70
5.22,1.91,1.935,3.59,0.72,0.32,0.19,4.87,0.04,15.0,45
7.24,3.17,45.85,1.8,10.4,3.85,0.79,15.11,0.38,0.5,88
4.82,2.467,40.02,4.501,0.886,0.123,0.045,2.726,0.147,0.5,45
6.31,1.979,1.935,5.276,7.525,2.542,0.451,10.66,0.203,7.5,74
5.36,0.81,1.34,9.95,0.67,0.3,0.17,4.17,0.04,0.5,45
5.4,5.2,38.79,28.38,7.687,1.038,0.313,9.934,0.298,3.0,76
7.92,0.796,4.148,274.4,76.61,0.425,0.104,77.63,8.63,15.0,48
5.3,3.5,8.403,8.07,6.78,0.98,0.2,8.43,0.32,0.5,57
7.86,1.97,8.58,8.8,24.87,3.1,0.28,28.53,0.43,0.5,66
6.67,2.771,3.575,3.874,22.45,11.05,1.819,35.41,0.298,0.5,81
6.08,2.79,7.62,8.74,9.68,2.44,0.51,12.77,0.33,0.5,78
5.9,5.457,3.547,4.327,9.959,2.837,0.54,13.39,0.131,7.5,86
4.65,1.79,1.62,2.85,0.31,0.1,0.045,1.32,0.23,0.5,37
6.16,0.801,4.362,2.837,5.165,1.336,0.045,6.67,0.06,0.5,61
5.52,8.035,53.07,10.94,6.005,1.766,0.995,8.867,0.387,0.5,85
4.84,5.434,8.478,7.419,1.278,0.685,0.181,5.252,0.101,0.5,52
4.97,2.43,42.26,4.901,2.108,0.476,0.115,4.19,0.161,0.5,48
5.71,12.14,9.89,32.67,4.35,0.93,3.22,8.63,0.52,0.5,74
4.69,6.84,4.22,9.76,0.55,0.23,0.14,6.96,0.23,0.5,49
5.76,4.07,98.62,15.62,5.92,1.35,1.52,8.94,0.38,0.5,81
4.72,1.595,20.39,8.693,2.069,0.559,0.045,5.418,0.128,15.0,50
6.02,2.59,41.1,9.89,7.7,1.64,0.27,9.73,0.22,3.0,72
5.27,2.07,22.28,40.33,5.98,1.23,0.15,7.93,0.3,0.5,62
5.95,2.26,3.43,2.63,4.34,1.74,0.24,6.44,0.18,7.5,64
4.49,1.9,3.57,4.67,0.67,0.21,0.045,2.49,0.25,0.5,32
8.24,1.05,28.45,105.65,27.3,2.99,0.32,32.22,1.82,0.5,65
5.76,2.45,1.81,3.91,12.12,4.86,0.21,17.33,0.33,0.5,76
5.5,6.71,12.98,9.06,4.6,0.59,0.16,5.41,0.44,0.5,71
5.63,4.64,23.09,8.09,6.79,1.48,0.32,8.85,0.22,0.5,77
6.48,1.031,6.212,4.306,6.266,3.875,0.295,10.57,0.237,3.0,71
4.9,2.265,5.854,6.842,2.553,0.727,0.27,6.237,0.171,7.5,47
4.96,2.049,27.29,6.362,5.843,0.987,0.15,7.475,0.539,0.5,51
5.51,2.105,60.86,614.3,18.6,5.181,0.156,25.97,2.541,0.5,76
5.14,17.89,40.33,3.12,3.36,1.36,0.88,7.96,0.54,0.5,78
4.53,1.839,9.766,13.4,0.866,0.333,0.246,5.447,0.296,0.5,44
6.02,2.491,1.935,4.792,7.6,3.025,0.398,11.22,0.166,3.0,74
6.4,2.194,31.37,1.189,4.605,1.478,0.268,6.395,0.078,7.5,70
5.01,1.83,1.88,2.62,0.87,0.27,0.09,3.85,0.11,0.5,42
5.019,6.511,1.935,1.822,1.609,0.455,0.184,6.196,0.121,0.5,57
6.66,3.824,13.31,2.837,9.151,1.177,0.562,11.26,0.327,0.5,82
4.32,3.31,2.39,15.57,0.34,0.14,0.1,5.32,0.25,0.5,40
6.64,2.86,44.24,7.76,10.34,2.49,0.43,13.37,0.23,0.5,84
8.01,1.16,21.02,12.68,12.75,2.838,0.259,16.0,0.506,0.5,65
4.28,17.92,1.33,235.0,6.482,1.898,0.671,12.5,0.718,7.5,67
5.86,1.36,45.95,2.54,4.94,1.11,0.11,6.24,0.11,0.5,69
5.08,17.61,25.27,7.166,0.791,0.303,0.436,5.719,0.278,0.5,69
6.82,0.27,19.82,3.77,5.94,1.81,0.19,8.13,0.34,0.5,67
7.61,1.53,9.68,16.05,24.96,4.03,0.59,30.12,0.36,0.5,71
4.26,5.686,4.318,4.534,0.521,0.194,0.151,3.691,0.313,0.5,43
5.11,13.73,1.935,13.6,0.25,0.1,0.144,1.881,0.211,7.5,53
5.05,4.151,7.775,29.61,2.177,0.66,0.259,12.06,0.408,0.5,60
5.0,6.86,6.47,9.16,1.29,0.53,0.24,4.45,0.14,3.0,53
7.75,0.509,38.39,2.399,18.13,2.135,0.12,21.19,0.202,0.5,69
6.72,0.431,24.29,3.619,3.842,0.497,0.147,4.633,0.21,3.0,56
5.68,3.789,6.573,3.074,2.081,0.687,0.391,3.294,0.139,3.0,60
4.79,15.14,8.665,11.37,0.955,0.139,0.231,2.798,0.413,0.5,51
5.65,14.39,52.31,6.85,6.45,0.73,0.21,7.48,0.22,15.0,79
4.55,8.679,43.09,13.25,1.647,0.298,0.108,5.62,0.232,15.0,57
4.92,1.838,4.942,44.08,1.885,0.368,0.218,4.069,0.257,0.5,40
5.68,5.55,5.62,10.83,8.82,2.72,0.42,12.02,0.49,0.5,84
5.019,3.884,3.769,3.022,1.819,0.254,0.101,5.709,0.098,0.5,50
5.37,4.096,1.935,59.7,8.74,4.11,0.203,15.94,0.528,0.5,73
